id,x,y,length
0,47.237602,39.709498,334
1,47.237716,39.709495,334
2,47.237736,39.709487,334
3,47.237752,39.709468,334
4,47.23776,39.709433,334
5,47.237761,39.709395,334
6,47.237752,39.708801,334
7,47.23775,39.708765,334
8,47.237741,39.708737,334
9,47.237727,39.708724,334
10,47.237705,39.708715,334
11,47.237671,39.708717,334
12,47.237621,39.708719,334
13,47.2376,39.708726,334
14,47.237585,39.70874,334
15,47.237576,39.708769,334
16,47.237572,39.708803,334
17,47.23758,39.709271,334
18,47.237532,39.709284,334
19,47.236792,39.709479,334
20,47.236779,39.709482,334
21,47.236762,39.709479,334
22,47.236733,39.709473,334
23,47.236733,39.709473,285
24,47.236714,39.70967,285
25,47.236696,39.709864,285
26,47.236693,39.709891,285
27,47.236635,39.710506,285
28,47.23659,39.711002,285
29,47.236554,39.711179,285
30,47.236489,39.711345,285
31,47.236402,39.711431,285
32,47.236085,39.711577,285
33,47.236085,39.711577,164
34,47.236088,39.71159,164
35,47.236481,39.711963,164
36,47.236637,39.711469,164
37,47.23659,39.711248,164
38,47.23659,39.711248,354
39,47.236879,39.711116,354
40,47.237164,39.710986,354
41,47.237413,39.710872,354
42,47.237494,39.710834,354
43,47.237568,39.710801,354
44,47.237732,39.710774,354
45,47.237939,39.710765,354
46,47.238107,39.710759,354
47,47.238211,39.710843,354
48,47.23827,39.71092,354
49,47.23849,39.711409,354
50,47.23849,39.711409,162
51,47.238489,39.711287,162
52,47.239004,39.711269,162
53,47.23902,39.711263,162
54,47.23903,39.711252,162
55,47.239037,39.711225,162
56,47.239029,39.710721,162
57,47.239029,39.710721,363
58,47.239119,39.710717,363
59,47.239208,39.710714,363
60,47.239287,39.71071,363
61,47.239421,39.710705,363
62,47.240122,39.710674,363
63,47.240736,39.709355,363
64,47.240701,39.709357,363
-1,-1,-1,-1
